# tau [ps];  F2NO4S2 [ps*S/m];  F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2 [ps*S/m];  C4H10O2-var [ps^2*S^2/m^2];  Li [ps*S/m];  Li-var [ps^2*S^2/m^2];  F2NO4S2/F2NO4S2 [ps*S/m];  F2NO4S2/F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2/C4H10O2 [ps*S/m];  C4H10O2/C4H10O2-var [ps^2*S^2/m^2];  Li/Li [ps*S/m];  Li/Li-var [ps^2*S^2/m^2];  F2NO4S2/C4H10O2 [ps*S/m];  F2NO4S2/C4H10O2-var [ps^2*S^2/m^2];  F2NO4S2/Li [ps*S/m];  F2NO4S2/Li-var [ps^2*S^2/m^2];  C4H10O2/Li [ps*S/m];  C4H10O2/Li-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
13650.000000;  7515.935871;  124.989823;  1041.415883;  0.203670;  21921.879225;  928.095940;  645.635803;  8777.200560;  -762.297946;  10.279577;  -4204.766345;  50937.467228;  -3017.644372;  1302.362659;  -13333.011355;  58850.909916;  2559.738085;  2043.869217;  12366.884850;  26628.414683
13680.000000;  7532.710622;  125.768809;  1043.696137;  0.204293;  21968.712799;  929.788990;  651.560758;  8821.784717;  -763.801314;  10.332969;  -4205.380490;  51101.905375;  -3026.040746;  1309.077052;  -13370.980734;  58965.172179;  2566.994895;  2047.872876;  12397.471927;  26719.437889
13710.000000;  7549.519871;  126.586879;  1045.977814;  0.205027;  22015.892170;  931.851358;  658.086957;  8862.868459;  -765.285269;  10.382607;  -4204.562884;  51312.103651;  -3034.667166;  1315.334956;  -13408.692319;  59112.293152;  2574.218604;  2053.026379;  12430.487777;  26839.047576
13740.000000;  7566.342939;  127.401623;  1048.258681;  0.205804;  22063.027438;  933.849929;  664.595693;  8905.422076;  -766.769051;  10.433690;  -4203.906056;  51495.923731;  -3043.289433;  1321.769774;  -13445.671921;  59269.955935;  2581.307718;  2058.444340;  12463.896008;  26971.945431
13770.000000;  7583.170990;  128.185094;  1050.540215;  0.206562;  22110.249564;  935.714236;  670.626535;  8951.689019;  -768.269447;  10.488741;  -4202.284873;  51709.941158;  -3051.737924;  1328.735506;  -13482.157618;  59443.847730;  2588.315212;  2064.468382;  12498.452655;  27106.208105
13800.000000;  7599.892736;  128.952669;  1052.822025;  0.207348;  22157.476613;  937.368627;  676.791097;  9000.839869;  -769.768730;  10.547682;  -4199.150157;  51937.806656;  -3060.198913;  1336.079012;  -13519.299104;  59622.789666;  2595.453610;  2070.662110;  12534.019179;  27252.201947
13830.000000;  7616.595010;  129.762317;  1055.100932;  0.208075;  22204.543163;  939.043455;  682.109222;  9043.380442;  -771.294208;  10.598707;  -4195.404905;  52183.241508;  -3068.342385;  1342.504975;  -13555.709733;  59775.319457;  2602.462682;  2076.013333;  12570.059779;  27375.889008
13860.000000;  7633.300270;  130.563342;  1057.380539;  0.208825;  22251.606299;  940.887269;  687.668284;  9087.526983;  -772.813153;  10.652516;  -4190.084164;  52415.822417;  -3076.569858;  1349.302074;  -13590.918479;  59921.926518;  2609.265512;  2081.186708;  12608.835250;  27474.848101
13890.000000;  7650.056076;  131.376615;  1059.657429;  0.209560;  22298.782161;  942.506129;  692.849151;  9133.103581;  -774.340939;  10.707553;  -4184.755944;  52672.454887;  -3084.674182;  1356.303501;  -13625.073230;  60076.116726;  2615.877749;  2086.620430;  12648.378271;  27593.197133
13920.000000;  7666.795168;  132.149550;  1061.931472;  0.210297;  22345.963787;  943.903870;  699.000013;  9183.783688;  -775.834605;  10.767976;  -4178.523771;  52922.698921;  -3093.123744;  1363.987393;  -13658.916151;  60241.262905;  2622.440355;  2092.430761;  12689.732523;  27701.675997
13950.000000;  7683.516838;  132.892371;  1064.208034;  0.211032;  22393.286691;  945.752812;  704.965325;  9232.051907;  -777.337040;  10.825144;  -4172.482181;  53168.767046;  -3101.502040;  1371.357727;  -13693.405174;  60395.976944;  2629.119985;  2097.875362;  12730.370437;  27812.508488
13980.000000;  7700.290821;  133.664001;  1066.484019;  0.211741;  22440.594266;  947.550361;  711.765935;  9283.343005;  -778.809250;  10.886156;  -4165.475573;  53425.689229;  -3110.204709;  1379.115436;  -13728.358302;  60559.973936;  2635.891290;  2103.636738;  12772.178498;  27936.665915
14010.000000;  7717.089567;  134.387838;  1068.761429;  0.212384;  22487.939963;  949.016608;  718.931518;  9327.356143;  -780.269379;  10.939517;  -4156.873779;  53703.189058;  -3119.052386;  1385.843997;  -13764.183251;  60698.252529;  2642.833642;  2108.480921;  12815.177326;  28098.500236
14040.000000;  7733.785319;  135.154322;  1071.037455;  0.213084;  22535.323157;  950.245911;  725.364670;  9371.438813;  -781.756635;  10.991986;  -4149.216920;  53953.055367;  -3127.591432;  1392.562714;  -13798.710051;  60831.333597;  2649.533090;  2113.116117;  12857.768655;  28257.152015
14070.000000;  7750.490109;  135.904326;  1073.314286;  0.213784;  22582.760586;  951.685220;  731.795842;  9412.720306;  -783.244420;  11.042879;  -4141.998899;  54194.275229;  -3136.133304;  1399.010890;  -13833.304238;  60946.874408;  2656.241810;  2117.174917;  12899.921772;  28391.144648
14100.000000;  7767.121028;  136.669585;  1075.590749;  0.214484;  22630.075389;  952.791704;  737.875533;  9456.359637;  -784.746779;  11.096385;  -4134.322465;  54487.694527;  -3144.515634;  1405.878918;  -13866.615489;  61053.437018;  2662.720002;  2120.975345;  12943.182334;  28548.524300
14130.000000;  7783.787861;  137.447065;  1077.865650;  0.215174;  22677.532874;  954.057959;  743.805039;  9495.872831;  -786.252013;  11.145219;  -4128.974294;  54773.025377;  -3152.852958;  1412.184804;  -13899.027258;  61186.201914;  2669.017850;  2125.679099;  12984.902750;  28696.510268
14160.000000;  7800.410697;  138.219097;  1080.140675;  0.215883;  22724.891463;  955.526536;  749.154506;  9534.170380;  -787.777842;  11.192315;  -4124.318324;  55015.560410;  -3160.964302;  1418.291198;  -13931.648332;  61306.835529;  2675.347615;  2129.931422;  13025.236156;  28822.711468
14190.000000;  7817.120147;  139.006369;  1082.415060;  0.216485;  22772.259838;  957.110330;  754.670554;  9573.476712;  -789.295595;  11.240099;  -4120.552851;  55270.085518;  -3169.162641;  1424.599341;  -13962.970176;  61439.045397;  2681.434485;  2134.605495;  13065.918822;  28943.406174
14220.000000;  7833.798171;  139.757218;  1084.688704;  0.217016;  22819.541756;  958.393108;  760.361840;  9613.909515;  -790.808009;  11.289745;  -4116.496386;  55503.245863;  -3177.412401;  1431.087234;  -13994.074146;  61568.950347;  2687.483347;  2139.153965;  13107.082875;  29071.965376
14250.000000;  7850.531348;  140.526267;  1086.964200;  0.217549;  22866.958721;  959.851504;  765.818615;  9652.043906;  -792.328746;  11.337129;  -4114.259456;  55712.376357;  -3185.594103;  1437.304427;  -14024.434070;  61689.361505;  2693.383984;  2143.341253;  13147.040493;  29201.331335
14280.000000;  7867.201730;  141.335514;  1089.241181;  0.218018;  22914.375872;  961.644069;  771.044560;  9687.338207;  -793.861344;  11.381274;  -4111.370169;  55925.836844;  -3193.665286;  1443.094978;  -14053.808477;  61802.353270;  2699.110586;  2147.248707;  13188.268653;  29352.563168
14310.000000;  7883.791394;  142.136062;  1091.517715;  0.218459;  22962.000598;  963.377178;  776.543251;  9723.403046;  -795.386559;  11.426777;  -4108.779130;  56157.295675;  -3201.809548;  1448.970613;  -14084.034720;  61929.221808;  2704.991276;  2151.660444;  13228.834277;  29504.896961
14340.000000;  7900.424885;  142.974697;  1093.795691;  0.218856;  23009.600252;  965.275938;  781.971347;  9767.929962;  -796.914293;  11.482264;  -4104.371169;  56384.896350;  -3209.942869;  1456.019407;  -14113.946997;  62079.560094;  2710.828767;  2156.899902;  13271.445614;  29630.658716
