time;anion_self;anion_self_std;cation_self;cation_self_std;anion_cross;anion_cross_std;cation_cross;cation_cross_std;anion_cation;anion_cation_std;total_eh;total_eh_std
   1131.00000000;    349.05418880;      2.83664467;    549.55505660;      2.44969521;   -289.18739760;      6.60038766;   -169.39181860;     37.16853187;    301.72274140;     29.17261037;    741.75277060;     71.71774651
   1132.00000000;    349.30429840;      2.83874917;    549.97538360;      2.45015105;   -289.39357240;      6.60362996;   -169.53315120;     37.18240460;    301.94416880;     29.18076579;    742.29712720;     71.73779666
   1133.00000000;    349.55545280;      2.83905236;    550.39801900;      2.45128056;   -289.59775220;      6.61113715;   -169.65748620;     37.21076294;    302.18091840;     29.19966183;    742.87915140;     71.78424846
   1134.00000000;    349.80625500;      2.84136090;    550.81963100;      2.45243598;   -289.80502120;      6.62041918;   -169.80265600;     37.22620446;    302.40032120;     29.20607628;    743.41852980;     71.80001978
   1135.00000000;    350.05918580;      2.84506807;    551.24405440;      2.45479560;   -290.01574520;      6.62494975;   -169.95905600;     37.22738009;    302.61304120;     29.20395519;    743.94148060;     71.79480678
   1136.00000000;    350.31060200;      2.84927283;    551.66652640;      2.45895195;   -290.22131100;      6.62972446;   -170.09037600;     37.22943707;    302.84412000;     29.20373291;    744.50956080;     71.79425995
   1137.00000000;    350.56172740;      2.85152030;    552.08899220;      2.46193986;   -290.42949420;      6.63711453;   -170.24015180;     37.25303896;    303.06054520;     29.22114288;    745.04161920;     71.83706065
   1138.00000000;    350.81465140;      2.85249386;    552.51288520;      2.46424547;   -290.63922100;      6.63888653;   -170.38973140;     37.26329746;    303.27825660;     29.22819025;    745.57684080;     71.85438539
   1139.00000000;    351.06767120;      2.85351328;    552.93594080;      2.46677219;   -290.85014640;      6.64271335;   -170.54547540;     37.27926643;    303.49041060;     29.23929641;    746.09840060;     71.88169163
   1140.00000000;    351.31723320;      2.85526258;    553.35588500;      2.46992520;   -291.05645900;      6.64772693;   -170.69077800;     37.30620592;    303.70838480;     29.25962221;    746.63426580;     71.93166111
   1141.00000000;    351.56840280;      2.85725103;    553.77879800;      2.47106182;   -291.26110660;      6.64917485;   -170.81827240;     37.30771887;    303.94284840;     29.25995014;    747.21066980;     71.93246581
   1142.00000000;    351.81945720;      2.86023415;    554.20110700;      2.47379514;   -291.46799800;      6.65447992;   -170.96013760;     37.32726174;    304.16542760;     29.27533765;    747.75785640;     71.97029332
   1143.00000000;    352.06985420;      2.86548633;    554.62366140;      2.47352752;   -291.67376420;      6.66259335;   -171.09928300;     37.36666701;    304.39036040;     29.30469243;    748.31082860;     72.04245887
   1144.00000000;    352.32351980;      2.86657216;    555.04562740;      2.47476372;   -291.88011660;      6.67067619;   -171.22080380;     37.39434655;    304.62881220;     29.32408992;    748.89703860;     72.09014655
   1145.00000000;    352.57394160;      2.86752863;    555.46810300;      2.47465888;   -292.08860080;      6.67407518;   -171.37696520;     37.40607912;    304.84017660;     29.33262834;    749.41665500;     72.11113638
   1146.00000000;    352.82349180;      2.86941715;    555.88984040;      2.47363563;   -292.29061520;      6.68317515;   -171.49684500;     37.44431303;    305.07975180;     29.36144642;    750.00562360;     72.18198374
   1147.00000000;    353.07127160;      2.87316584;    556.31082940;      2.47645779;   -292.49400560;      6.68925712;   -171.63595240;     37.47987258;    305.30347120;     29.38869286;    750.55561460;     72.24896339
   1148.00000000;    353.32087540;      2.87547888;    556.73104000;      2.47912477;   -292.69576380;      6.69338051;   -171.75233140;     37.50334016;    305.54461000;     29.40621432;    751.14843000;     72.29203986
   1149.00000000;    353.57304160;      2.88050118;    557.15481580;      2.48339071;   -292.90505500;      6.70040650;   -171.90384660;     37.52520366;    305.76069480;     29.42133361;    751.67965040;     72.32920952
   1150.00000000;    353.82343180;      2.88507345;    557.57595920;      2.48796243;   -293.11019000;      6.70541757;   -172.03761240;     37.53739650;    305.98877680;     29.43053918;    752.24036560;     72.35183986
   1151.00000000;    354.07481920;      2.88797053;    557.99735820;      2.49040277;   -293.31745700;      6.70924884;   -172.17883940;     37.55489838;    306.21113880;     29.44420911;    752.78701960;     72.38544609
   1152.00000000;    354.32476340;      2.89060136;    558.42113220;      2.49198211;   -293.52085100;      6.71876962;   -172.30700720;     37.59643163;    306.44574980;     29.47551035;    753.36378700;     72.46239594
   1153.00000000;    354.57477740;      2.89210707;    558.84265200;      2.49300738;   -293.72560840;      6.72431573;   -172.44113940;     37.62210958;    306.67383940;     29.49545077;    753.92452140;     72.51141566
   1154.00000000;    354.82474580;      2.89261612;    559.26317420;      2.49369918;   -293.92721560;      6.72647251;   -172.55456060;     37.63344842;    306.91757520;     29.50369005;    754.52371920;     72.53167215
   1155.00000000;    355.07337280;      2.89513832;    559.68449140;      2.49413362;   -294.12861420;      6.73751439;   -172.67597040;     37.67937721;    307.15560120;     29.53770710;    755.10888100;     72.61530116
   1156.00000000;    355.32170520;      2.89614982;    560.10576700;      2.49709329;   -294.32797380;      6.74170341;   -172.78625380;     37.69938051;    307.40242280;     29.55035711;    755.71566740;     72.64640082
   1157.00000000;    355.57148240;      2.89961502;    560.52596440;      2.49807419;   -294.53161900;      6.74586806;   -172.91351160;     37.70711235;    307.63492100;     29.55609802;    756.28723660;     72.66051406
