# tau / ps;  MSD / pm^2;  Derivative
180.000000; 3813211.900327; 21072.598659
181.000000; 3834284.498986; 21033.489408
182.000000; 3855317.988395; 21095.218661
183.000000; 3876413.207056; 21147.656761
184.000000; 3897560.863817; 21143.811335
185.000000; 3918704.675152; 21138.004952
186.000000; 3939842.680103; 21170.505113
187.000000; 3961013.185216; 21279.733943
188.000000; 3982292.919159; 21255.842593
189.000000; 4003548.761752; 21374.227086
190.000000; 4024922.988838; 21333.859528
191.000000; 4046256.848366; 21379.858074
192.000000; 4067636.706441; 21511.151806
193.000000; 4089147.858246; 21642.709560
194.000000; 4110790.567807; 21633.318974
195.000000; 4132423.886781; 21630.014767
196.000000; 4154053.901548; 21582.044655
197.000000; 4175635.946204; 21533.247595
198.000000; 4197169.193799; 21557.939317
199.000000; 4218727.133115; 21501.699877
200.000000; 4240228.832992; 21562.991564
201.000000; 4261791.824555; 21526.953248
202.000000; 4283318.777804; 21474.293155
203.000000; 4304793.070959; 21513.966068
204.000000; 4326307.037027; 21589.017980
205.000000; 4347896.055007; 21535.662480
206.000000; 4369431.717486; 21535.906452
207.000000; 4390967.623938; 21485.729788
208.000000; 4412453.353726; 21501.099647
209.000000; 4433954.453373; 21483.321761
210.000000; 4455437.775134; 21527.580930
211.000000; 4476965.356064; 21551.050004
212.000000; 4498516.406068; 21478.067371
213.000000; 4519994.473439; 21498.760371
214.000000; 4541493.233810; 21477.091427
215.000000; 4562970.325237; 21534.075858
216.000000; 4584504.401095; 21463.482866
217.000000; 4605967.883961; 21446.422996
218.000000; 4627414.306957; 21513.656344
219.000000; 4648927.963301; 21466.256644
220.000000; 4670394.219945; 21446.634893
221.000000; 4691840.854838; 21388.808409
222.000000; 4713229.663248; 21422.869104
223.000000; 4734652.532351; 21380.658045
224.000000; 4756033.190396; 21394.929941
225.000000; 4777428.120337; 21418.779018
226.000000; 4798846.899354; 21376.807731
227.000000; 4820223.707085; 21332.828881
228.000000; 4841556.535966; 21287.120066
229.000000; 4862843.656032; 21409.745436
230.000000; 4884253.401468; 21214.743363
231.000000; 4905468.144831; 21312.565249
232.000000; 4926780.710079; 21267.620132
233.000000; 4948048.330211; 21193.258828
234.000000; 4969241.589039; 21321.500520
235.000000; 4990563.089559; 21365.286810
236.000000; 5011928.376369; 21397.040617
237.000000; 5033325.416986; 21484.141231
238.000000; 5054809.558216; 21473.211339
239.000000; 5076282.769556; 21471.111624
240.000000; 5097753.881180; 21505.688984
241.000000; 5119259.570164; 21547.862510
242.000000; 5140807.432673; 21646.881567
243.000000; 5162454.314241; 21791.978819
244.000000; 5184246.293060; 21808.875120
245.000000; 5206055.168180; 21831.311954
246.000000; 5227886.480134; 21995.129758
247.000000; 5249881.609892; 21998.279517
