time / ps;msd / pm^2;std / pm^2
2214.0;502753.590173;6457.397559346953
2223.0;504667.13994580007;6477.723347093099
2232.0;506573.44498260005;6519.532288393198
2241.0;508480.1242998;6565.3780856478825
2250.0;510400.1426564;6599.358258502215
2259.0;512304.067842;6636.720747326899
2268.0;514201.48667879996;6666.519218430332
2277.0;516093.0805074;6707.727112753265
2286.0;517991.5692624;6755.554002212551
2295.0;519889.526891;6806.125689148998
2304.0;521789.0552302;6848.317399606365
2313.0;523678.86392980005;6899.770022878935
2322.0;525585.2170213999;6943.595659478046
2331.0;527483.7964242001;6989.802626626546
2340.0;529374.4161048;7029.4867567351075
2349.0;531265.3386103999;7092.215262052506
2358.0;533162.6781196;7126.793292817081
2367.0;535071.7336162;7186.281038041241
2376.0;536962.8570121999;7246.829483939375
2385.0;538856.2723593998;7294.38160454086
2394.0;540743.2235954;7351.987156657891
2403.0;542645.3885363999;7389.713141713261
2412.0;544542.9273687999;7442.324384634042
2421.0;546441.1961418;7491.965978392177
2430.0;548341.2929789999;7526.620324336928
2439.0;550231.4664712001;7584.628834024359
2448.0;552120.4434324;7614.062248887891
2457.0;554000.7701054;7649.496982646107
2466.0;555884.756345;7692.068313731097
2475.0;557773.3824336;7733.121985400724
2484.0;559673.3191572;7769.835329445305
2493.0;561580.808485;7807.428764203925
2502.0;563480.1703347999;7843.035598211875
2511.0;565367.9567668;7903.2499093247625
2520.0;567276.5871400001;7938.334231581336
2529.0;569179.0249362;7988.822404639625
2538.0;571076.1279571999;8042.439263129308
2547.0;572962.1201486;8095.224737796483
2556.0;574870.2453916001;8123.098240892997
2565.0;576770.317249;8170.482007175246
2574.0;578664.6127774001;8221.195125618826
2583.0;580554.3981286;8269.215519954658
2592.0;582456.0850768;8321.624189384802
2601.0;584357.4250194;8357.54173615767
2610.0;586268.713952;8402.798944940008
2619.0;588171.9931507999;8452.771166397073
2628.0;590073.642387;8511.922604850008
2637.0;591974.3465738;8558.59953541777
2646.0;593890.7661624;8618.811982040459
2655.0;595802.6656754;8658.283387120175
2664.0;597703.7951448;8697.72161398121
2673.0;599613.1696134;8762.124206546221
2682.0;601527.724534;8799.91470641517
2691.0;603431.6159544;8848.261552703087
2700.0;605328.2756838;8895.304186953941
2709.0;607248.0582553999;8941.705549263559
2718.0;609156.9071246;8993.338143339219
2727.0;611069.1455004001;9043.927337374234
2736.0;612984.203598;9093.012518364494
2745.0;614891.0002946;9139.751585049647
2754.0;616792.4053525999;9179.275503430765
2763.0;618697.2215992;9228.768560396273
2772.0;620605.7805127999;9282.764901210801
2781.0;622511.1555975999;9324.314191907748
2790.0;624398.9126003999;9375.2892893732
2799.0;626299.0417938;9410.829342743455
2808.0;628205.6546023999;9455.249533134544
2817.0;630105.29616;9504.873424757125
2826.0;631995.9196824;9543.153472278906
2835.0;633905.2509032;9598.629036474764
2844.0;635793.6495749999;9653.519757281165
2853.0;637693.5430392;9696.272067172691
2862.0;639584.8491984;9740.612099907014
2871.0;641474.1060148;9791.224747370354
2880.0;643366.2973386;9847.741444963685
2889.0;645258.9907838;9891.019332440834
2898.0;647149.56727;9946.927921925047
2907.0;649035.2155676001;10020.835344437632
2916.0;650907.5401904;10077.191310260248
2925.0;652793.4542662001;10130.34061831126
2934.0;654669.2097666;10195.028630011317
2943.0;656550.5162724;10264.144863314208
2952.0;658412.4004182;10330.258897316287
2961.0;660311.0004846;10380.834638921937
2970.0;662180.3838188;10444.166083556645
2979.0;664066.7359229999;10490.560275896343
2988.0;665960.9851426;10547.796918976112
2997.0;667829.1906033999;10616.407840321119
3006.0;669712.3786574;10659.78216417179
3015.0;671581.9827098001;10708.414697955124
3024.0;673452.1526982;10763.112117144321
3033.0;675334.5054822;10814.828637696772
3042.0;677225.7844732;10887.727151586465
3051.0;679117.2486405999;10932.427922595974
3060.0;681011.8152958;10998.42508222899
3069.0;682906.0578989999;11045.900005599504
3078.0;684804.9279331999;11084.784030498759
3087.0;686701.1778780001;11151.893194803026
3096.0;688603.7807420001;11204.718756294935
3105.0;690494.5050752;11259.589551058512
3114.0;692400.880125;11304.212056091308
3123.0;694280.1360328;11352.055767459748
3132.0;696171.3168462;11410.314301900968
3141.0;698071.4261990001;11449.366676870757
3150.0;699966.8601208001;11483.08462315033
3159.0;701840.0662991998;11531.85467908711
3168.0;703739.0607874;11565.248114237713
3177.0;705632.5468513999;11613.197447872342
3186.0;707520.3617316;11648.708091974526
3195.0;709408.1450091999;11687.543577883036
3204.0;711305.63232;11726.814185175268
3213.0;713195.2130343999;11750.31965909796
3222.0;715093.3104900001;11782.750404348619
3231.0;716992.8067966;11826.539155436922
3240.0;718889.2627272;11874.973130438426
3249.0;720784.5020346;11906.858331898986
3258.0;722689.248363;11939.71043409509
3267.0;724584.395027;11982.77442971121
3276.0;726471.1468962;12026.289688549667
3285.0;728352.9670820001;12064.605534036791
3294.0;730241.4104871999;12097.384504065665
3303.0;732138.3554982;12132.46090966532
3312.0;734042.7594874001;12173.519046668887
3321.0;735943.5025082;12224.025808910961
3330.0;737840.0935758;12262.172826543643
3339.0;739735.9217551999;12296.287534664863
3348.0;741630.5821860001;12344.350332388618
3357.0;743530.0456614;12405.798223110081
3366.0;745416.1985076;12442.69256983009
3375.0;747300.8594818001;12486.460903484069
3384.0;749196.2718899999;12513.108711967549
3393.0;751100.1988622;12546.699465713114
3402.0;752991.1237834;12591.428762738058
3411.0;754902.4307629999;12623.238672443058
3420.0;756798.5602298001;12661.710267602677
3429.0;758696.5305704;12706.516090218369
3438.0;760598.9438332;12741.007233272927
3447.0;762504.9180386;12782.638961190529
3456.0;764416.215051;12827.563843590995
3465.0;766308.7658358;12861.00604462524
3474.0;768203.8675309999;12909.067673697005
3483.0;770090.5398202;12951.199642957145
3492.0;771972.2917286;12989.967089935108
3501.0;773865.098131;13020.125056409275
3510.0;775757.183192;13054.022489688086
3519.0;777644.9318842;13092.65386998377
3528.0;779540.5587138;13127.397104487072
3537.0;781447.8452278;13157.692579788754
3546.0;783347.8075538;13203.711338203002
3555.0;785244.797429;13238.9835109265
3564.0;787151.2799218;13273.567838218214
3573.0;789033.8657113999;13326.742948789873
3582.0;790932.879474;13366.267339983198
3591.0;792825.596341;13431.609830844212
3600.0;794709.0952111998;13487.651776001723
3609.0;796616.912844;13537.580346939973
3618.0;798524.1248826;13589.536023120096
3627.0;800412.4447466001;13634.67510680751
3636.0;802290.7304805999;13691.37005490946
3645.0;804183.9694794;13733.861573155946
3654.0;806078.0486134;13779.159919256874
3663.0;807978.0217668;13825.957402408523
3672.0;809884.077328;13886.30745768228
3681.0;811768.8777174;13929.77179464006
3690.0;813659.975574;13985.727880928203
3699.0;815583.4129512;14032.29767841947
3708.0;817480.0504482;14079.203181009107
3717.0;819389.6602538;14121.101237001134
3726.0;821290.011692;14176.203325215743
3735.0;823181.7615182002;14220.938259460489
3744.0;825075.0855962001;14270.769912797015
3753.0;826967.7828259999;14318.45293748411
3762.0;828861.4295162001;14378.297935682212
3771.0;830761.1223398;14439.03574447736
3780.0;832647.7410554;14486.868856966976
3789.0;834536.9548528;14554.242622003081
3798.0;836436.2992402001;14605.740834654836
3807.0;838316.4210148;14680.448836824164
3816.0;840203.3804710001;14729.259263985516
3825.0;842094.2353187999;14764.159171175172
3834.0;843977.6370402001;14824.726265017156
3843.0;845858.1381196;14877.884405818693
3852.0;847754.4474340001;14927.28646664041
3861.0;849655.2336518001;14994.502047460393
3870.0;851551.5383816;15059.840196764628
3879.0;853437.6605054;15120.898520075136
3888.0;855332.6096795999;15195.433489386898
3897.0;857209.6510894;15259.475021145925
3906.0;859105.2781072002;15316.195317109583
3915.0;860980.9059798;15365.954315263294
3924.0;862882.8873563999;15412.783717383658
3933.0;864768.2233845999;15473.730109756247
3942.0;866664.6257728;15534.843912276065
3951.0;868549.5393711999;15590.795573600097
3960.0;870430.483843;15659.179702863474
3969.0;872318.9459438;15717.842348471433
3978.0;874214.9149195999;15773.754689984773
3987.0;876101.1387468001;15814.206393623843
3996.0;877989.7449018;15876.75322059179
4005.0;879878.5610439999;15934.32823263099
4014.0;881772.3363290001;15984.20154165638
4023.0;883647.9238284;16039.116026345644
4032.0;885537.5467987999;16081.064981999192
4041.0;887436.77874;16115.506382366093
4050.0;889332.6246834;16174.474713485046
4059.0;891230.4232864;16206.294872688164
4068.0;893115.1082332;16250.000074159429
4077.0;895014.0063355999;16298.717586032
4086.0;896906.982052;16346.221715805925
4095.0;898785.8369324;16395.52490715706
4104.0;900679.7303611999;16441.44239937861
4113.0;902561.1466849999;16491.69178604179
4122.0;904455.906171;16528.314855501325
4131.0;906334.0698694;16583.81834595939
4140.0;908212.9588670001;16621.382530414037
4149.0;910096.9055178;16651.92625839241
4158.0;911989.1420775999;16705.86870897552
4167.0;913875.2105157999;16756.699089812268
4176.0;915758.8268255999;16798.170906753287
4185.0;917653.0323532;16840.15900303923
4194.0;919558.5155184001;16880.62268806061
4203.0;921450.7209514001;16912.450048444636
4212.0;923350.6609732;16964.80623194236
4221.0;925240.3183861999;17009.27509113815
4230.0;927130.461636;17055.017915940323
4239.0;929016.5706760001;17101.802431704033
4248.0;930903.002791;17150.5188399033
4257.0;932806.5234269999;17176.445390900906
4266.0;934694.0254340001;17217.460770427686
4275.0;936589.6614590001;17263.165315787184
4284.0;938484.8451791999;17302.312998656118
4293.0;940376.4002224;17348.52530046225
4302.0;942254.8040732;17372.6993178926
4311.0;944137.5049578;17411.56649978049
4320.0;946030.2445756001;17439.69278479345
4329.0;947915.3094326;17462.69928370452
4338.0;949801.3379532;17487.224795487487
4347.0;951680.2517005999;17513.055527720517
4356.0;953572.711005;17545.61268016655
4365.0;955461.438068;17576.053577645835
4374.0;957365.1599952001;17619.478840960102
4383.0;959264.5544002;17652.787408752854
4392.0;961169.1280701999;17691.346830134036
4401.0;963071.0520852001;17727.59207157056
4410.0;964975.0479892001;17751.73047484802
4419.0;966881.0562837999;17785.50323083492
4428.0;968784.2935836001;17842.708664232214
4437.0;970679.9397288;17904.333961059063
4446.0;972574.2515062001;17951.409966186122
4455.0;974463.3481924;17994.933241484723
4464.0;976358.2598172;18040.721232188174
4473.0;978223.7337792;18070.341476102953
4482.0;980115.5083184;18109.95759763656
4491.0;981990.842791;18138.049846327605
4500.0;983876.0890216001;18185.351930368943
4509.0;985749.1406216;18233.878007119234
4518.0;987624.9193176001;18294.711798509165
4527.0;989489.9303631999;18343.406692646604
4536.0;991362.7003612;18402.88216566754
4545.0;993237.016025;18465.558082509833
4554.0;995120.3664206;18512.490954969853
4563.0;996997.8635938;18571.57396786473
4572.0;998862.7850477999;18640.45101386821
4581.0;1000744.9685278;18700.16095896489
4590.0;1002626.5431951999;18751.41932073706
4599.0;1004506.0025062;18807.175015680143
4608.0;1006382.3662087999;18852.95192504796
4617.0;1008262.5409650002;18906.774882355963
4626.0;1010143.7512946001;18972.42281460914
4635.0;1012018.7191053999;19037.283789184436
4644.0;1013905.8369706001;19102.793035740033
4653.0;1015781.0796674;19173.547398538816
4662.0;1017660.9517946001;19240.307406657073
4671.0;1019530.5667362001;19288.991363341433
4680.0;1021400.4730104001;19355.376274439233
4689.0;1023277.3013906;19426.378564920724
4698.0;1025152.0774119999;19481.975600155645
4707.0;1027046.73359;19548.645345794805
4716.0;1028929.4973555999;19603.964845683444
4725.0;1030810.9200272001;19669.70693141045
4734.0;1032676.8447526001;19733.78125161281
4743.0;1034550.4728109998;19809.560482863508
4752.0;1036431.0070206001;19869.0367918314
4761.0;1038322.8481078001;19943.626341906674
4770.0;1040200.3916671999;20009.056702074835
4779.0;1042091.6626224;20068.204712636594
4788.0;1043964.3339456;20134.930396447486
4797.0;1045840.4489138;20194.24316094568
4806.0;1047721.6705870001;20254.808167560637
4815.0;1049596.1517518;20330.341793230495
4824.0;1051481.305048;20390.245377239844
4833.0;1053346.8519638;20468.9746532415
4842.0;1055229.8807722;20546.668847578294
4851.0;1057122.1262548;20616.453677747715
4860.0;1059000.1980794;20679.327274391228
4869.0;1060878.3472099998;20760.22180391321
4878.0;1062759.5334816;20830.768890559288
4887.0;1064641.4073036;20896.12875960957
4896.0;1066517.2459657998;20975.46982686836
4905.0;1068387.8969995999;21050.31139034251
4914.0;1070262.9648185999;21119.714819445435
4923.0;1072137.5151322;21187.55230087965
4932.0;1074006.7804470002;21253.129010621724
4941.0;1075882.054208;21320.586764997523
4950.0;1077744.8477741997;21409.554852805453
4959.0;1079623.9859406003;21473.05558901703
4968.0;1081502.632775;21535.06296845306
4977.0;1083385.9655958;21623.319511112117
4986.0;1085278.7981982;21707.58243502769
4995.0;1087163.2500071998;21786.75315838405
5004.0;1089046.5423740002;21873.01928480848
5013.0;1090930.6016235999;21942.247745984107
5022.0;1092809.8575701998;22018.164576170835
5031.0;1094685.0872768;22095.17042118233
5040.0;1096563.7606364;22168.507143944717
5049.0;1098444.1056432002;22243.007459411394
5058.0;1100320.2105044;22321.076284267783
5067.0;1102196.6371792;22395.890034543525
5076.0;1104080.296965;22439.74826272964
5085.0;1105948.0430734002;22528.367686625483
5094.0;1107826.8741558;22597.306842585473
5103.0;1109703.6906074;22676.641690396515
5112.0;1111577.4033242003;22734.21355589619
5121.0;1113460.9290267997;22815.137360231027
